srNo,sys_gUid,uniqueId,createdBy,createdDate,lastUpdatedBy,lastUpdatedDate,constructionType,streetNameFrom,streetNameTo,routeName,mileMarkerStart,mileMarkerEnd,travelRestriction,plannedStartDate,plannedEndDate,closureStatus,actualStartDate,actualEndDate,permitDocument,permitID,imageUrl,imageName/Description
155,ConstructionWorkZone-b1502ed3-20af-43fc-b624-c855c0debee9,603cd61b8b7430fa82871d50,contractor@navjoyinc.com,2021-03-01T13:30:11.441Z,contractor@navjoyinc.com,2021-03-01T13:30:11.441Z,,,,,,,,,,,,,,,,
156,ConstructionWorkZone-9fca4d79-0db0-4748-a68a-8034abae242d,603cd61b8b7430fa82871d55,contractor@navjoyinc.com,2021-03-01T16:30:13.156Z,contractor@navjoyinc.com,2021-03-01T16:30:13.156Z,,,,,,,,,,,,,,,,
157,ConstructionWorkZone-5d5a5e51-d3de-4cd2-b6d0-d83455b58bef,603cde4e8b7430fa82874d05,contractor@navjoyinc.com,2021-03-01T12:45:10.458Z,contractor@navjoyinc.com,2021-03-01T12:45:10.458Z,,,,,,,,,,,,,,,,
158,ConstructionWorkZone-eaf5cb20-fd88-47ae-84b3-99e5ef190327,603cf5c28b7430fa8287c9fb,contractor@navjoyinc.com,2021-03-01T14:10:10.582Z,contractor@navjoyinc.com,2021-03-01T14:10:10.582Z,,,,,,,,,,,,,,,,
159,ConstructionWorkZone-108e0d62-f50d-4a87-b356-43e4870f2a43,603cf6ef8b7430fa8287d0be,contractor@navjoyinc.com,2021-03-01T17:20:14.621Z,contractor@navjoyinc.com,2021-03-01T17:20:14.621Z,,,,,,,,,,,,,,,,
160,ConstructionWorkZone-94403b8c-0198-493f-b00a-483453684cdb,603cf6ef8b7430fa8287d10d,contractor@navjoyinc.com,2021-03-01T14:45:08.569Z,contractor@navjoyinc.com,2021-03-01T14:45:08.569Z,,,,,,,,,,,,,,,,
161,ConstructionWorkZone-a6826aa9-4e37-420c-9c48-412b61894a97,603cf6ef8b7430fa8287d112,contractor@navjoyinc.com,2021-03-01T14:35:06.289Z,contractor@navjoyinc.com,2021-03-01T14:35:06.289Z,,,,,,,,,,,,,,,,
162,ConstructionWorkZone-f3ba9ec2-2831-4045-99ff-d2427b8f92a9,603cf9498b7430fa8287fca6,contractor@navjoyinc.com,2021-03-01T14:25:13.906Z,contractor@navjoyinc.com,2021-03-01T14:25:13.906Z,,,,,,,,,,,,,,,,
163,ConstructionWorkZone-5323d31a-56f9-4bd5-9b59-0774356a3953,603cf9498b7430fa8287fd19,contractor@navjoyinc.com,2021-03-01T14:45:08.569Z,contractor@navjoyinc.com,2021-03-01T14:45:08.569Z,,,,,,,,,,,,,,,,
164,ConstructionWorkZone-d85d3156-0e9f-4331-be82-a7c156e96a95,603cfa778b7430fa82880304,contractor@navjoyinc.com,2021-03-02T01:10:13.174Z,contractor@navjoyinc.com,2021-03-02T01:10:13.174Z,,,,,,,,,,,,,,,,
165,ConstructionWorkZone-ee702737-5c4e-4edb-9e00-b5e142cb7ee0,603d1c6d8b7430fa8289bf80,contractor@navjoyinc.com,2021-03-01T16:55:08.977Z,contractor@navjoyinc.com,2021-03-01T16:55:08.977Z,,,,,,,,,,,,,,,,
166,ConstructionWorkZone-b4981996-2bfd-4684-85ed-d1ee6338eef1,603d4c768b7430fa828c1647,contractor@navjoyinc.com,2021-03-01T23:45:14.415Z,contractor@navjoyinc.com,2021-03-01T23:45:14.415Z,,,,,,,,,,,,,,,,
167,ConstructionWorkZone-8c9758b0-c6f3-4d35-a167-552329d95a83,603d4ed38b7430fa828c2363,contractor@navjoyinc.com,2021-03-01T22:55:12.830Z,contractor@navjoyinc.com,2021-03-01T22:55:12.830Z,,,,,,,,,,,,,,,,
168,ConstructionWorkZone-540f7d87-2d38-4bfd-810e-4fc50ad522cf,603d5f3f8b7430fa828c95e2,contractor@navjoyinc.com,2021-03-02T01:00:11.045Z,contractor@navjoyinc.com,2021-03-02T01:00:11.045Z,,,,,,,,,,,,,,,,
169,ConstructionWorkZone-a32aa2f3-72a7-4125-ac04-9f4c1a5ffe61,603d5f3f8b7430fa828c963c,contractor@navjoyinc.com,2021-03-01T21:50:07.827Z,contractor@navjoyinc.com,2021-03-01T21:50:07.827Z,,,,,,,,,,,,,,,,
170,ConstructionWorkZone-9f6a6616-14f9-4b20-afea-4dfba413f8e1,603d618f8b7430fa828ca39b,contractor@navjoyinc.com,2021-03-01T21:55:08.753Z,contractor@navjoyinc.com,2021-03-01T21:55:08.753Z,,,,,,,,,,,,,,,,
171,ConstructionWorkZone-31864bd0-79a8-4b84-ac96-e2d776e508bd,603d65178b7430fa828cb570,contractor@navjoyinc.com,2021-03-01T22:10:13.164Z,contractor@navjoyinc.com,2021-03-01T22:10:13.164Z,,,,,,,,,,,,,,,,
172,ConstructionWorkZone-a2af3313-d620-417a-898c-03592e96a80b,603d67718b7430fa828cc273,contractor@navjoyinc.com,2021-03-01T22:35:08.067Z,contractor@navjoyinc.com,2021-03-01T22:35:08.067Z,,,,,,,,,,,,,,,,
173,ConstructionWorkZone-7ea2d396-76ac-4e74-9f54-211fadb2d174,603d689e8b7430fa828cc9f5,contractor@navjoyinc.com,2021-03-01T22:30:06.843Z,contractor@navjoyinc.com,2021-03-01T22:30:06.843Z,,,,,,,,,,,,,,,,
174,ConstructionWorkZone-e5417f72-c002-4381-a39b-9cff4f8776b3,603d6c1c8b7430fa828cef12,contractor@navjoyinc.com,2021-03-01T22:35:08.067Z,contractor@navjoyinc.com,2021-03-01T22:35:08.067Z,,,,,,,,,,,,,,,,
175,ConstructionWorkZone-bc8bf281-06ed-4d11-8223-5506f843a543,603d6d4a8b7430fa828cf5a0,contractor@navjoyinc.com,2021-03-01T22:50:11.526Z,contractor@navjoyinc.com,2021-03-01T22:50:11.526Z,,,,,,,,,,,,,,,,
176,ConstructionWorkZone-fb6e2a24-16a0-45b1-bb47-0de0696ec879,603d6e768b7430fa828cfc49,contractor@navjoyinc.com,2021-03-01T23:00:13.926Z,contractor@navjoyinc.com,2021-03-01T23:00:13.926Z,,,,,,,,,,,,,,,,
177,ConstructionWorkZone-f89a8f31-7249-4d92-8cf3-28e9538feced,603d6fa38b7430fa828d02ee,contractor@navjoyinc.com,2021-03-02T00:25:13.082Z,contractor@navjoyinc.com,2021-03-02T00:25:13.082Z,,,,,,,,,,,,,,,,
178,ConstructionWorkZone-1fbec336-44d4-47f5-96f8-8b2aff4506c1,603d71fd8b7430fa828d0f9f,contractor@navjoyinc.com,2021-03-01T23:05:15.021Z,contractor@navjoyinc.com,2021-03-01T23:05:15.021Z,,,,,,,,,,,,,,,,
179,ConstructionWorkZone-7f7a3b94-1901-4ea2-8707-75aa71bd3766,603d732b8b7430fa828d1606,contractor@navjoyinc.com,2021-03-01T23:20:08.805Z,contractor@navjoyinc.com,2021-03-01T23:20:08.805Z,,,,,,,,,,,,,,,,
180,ConstructionWorkZone-0a3ab8c1-63e2-4eee-a873-3bb108d09968,603d744e8b7430fa828d1c0e,contractor@navjoyinc.com,2021-03-01T23:35:11.968Z,contractor@navjoyinc.com,2021-03-01T23:35:11.968Z,,,,,,,,,,,,,,,,
181,ConstructionWorkZone-03e4fd02-b0a7-4a62-861b-a0bd27d061a2,603d77d58b7430fa828d3010,contractor@navjoyinc.com,2021-03-01T23:40:12.952Z,contractor@navjoyinc.com,2021-03-01T23:40:12.952Z,,,,,,,,,,,,,,,,
182,ConstructionWorkZone-33a0e010-5e24-4986-b737-a833f9ea473f,603d7a2f8b7430fa828d3c4c,contractor@navjoyinc.com,2021-03-02T00:10:09.762Z,contractor@navjoyinc.com,2021-03-02T00:10:09.762Z,,,,,,,,,,,,,,,,
183,ConstructionWorkZone-488cb86e-777c-4c6f-88a9-30a540e414ac,603d7c8a8b7430fa828d4997,contractor@navjoyinc.com,2021-03-02T00:00:07.464Z,contractor@navjoyinc.com,2021-03-02T00:00:07.464Z,,,,,,,,,,,,,,,,
184,ConstructionWorkZone-57110786-7993-47ff-8dcd-39da4f258673,603d81348b7430fa828d630c,contractor@navjoyinc.com,2021-03-02T00:05:08.637Z,contractor@navjoyinc.com,2021-03-02T00:05:08.637Z,,,,,,,,,,,,,,,,
185,ConstructionWorkZone-2dd9d408-9e29-49f6-b7b6-50c9b461a797,603d82618b7430fa828d6959,contractor@navjoyinc.com,2021-03-02T00:25:13.083Z,contractor@navjoyinc.com,2021-03-02T00:25:13.083Z,,,,,,,,,,,,,,,,
186,ConstructionWorkZone-9639b616-6a63-452d-b25a-cad40f0fac7a,603d838e8b7430fa828d6f7f,contractor@navjoyinc.com,2021-03-02T02:40:13.369Z,contractor@navjoyinc.com,2021-03-02T02:40:13.369Z,,,,,,,,,,,,,,,,
187,ConstructionWorkZone-3ac6a527-5860-40d9-a368-17eb5963372d,603d87168b7430fa828d82f5,contractor@navjoyinc.com,2021-03-02T03:25:13.224Z,contractor@navjoyinc.com,2021-03-02T03:25:13.224Z,,,,,,,,,,,,,,,,
188,ConstructionWorkZone-133365c6-c59b-43e7-927f-9c510d61f540,603d87168b7430fa828d830d,contractor@navjoyinc.com,2021-03-02T02:40:13.371Z,contractor@navjoyinc.com,2021-03-02T02:40:13.371Z,,,,,,,,,,,,,,,,
189,ConstructionWorkZone-23af9d36-19f7-4b2f-8848-d7872227b09f,603d8f488b7430fa828daeb6,contractor@navjoyinc.com,2021-03-02T01:05:12.347Z,contractor@navjoyinc.com,2021-03-02T01:05:12.347Z,,,,,,,,,,,,,,,,
190,ConstructionWorkZone-cecfde56-9699-4f67-9e75-556feab29035,603d90758b7430fa828db4ef,contractor@navjoyinc.com,2021-03-02T01:10:13.174Z,contractor@navjoyinc.com,2021-03-02T01:10:13.174Z,,,,,,,,,,,,,,,,
191,ConstructionWorkZone-7a3b936b-9e1c-4b34-a69b-15b01f308b3c,603d91a28b7430fa828dbadf,contractor@navjoyinc.com,2021-03-02T01:55:14.045Z,contractor@navjoyinc.com,2021-03-02T01:55:14.045Z,,,,,,,,,,,,,,,,
192,ConstructionWorkZone-67cf8daa-1846-449c-a8b8-771cbaba80af,603d93f28b7430fa828dc802,contractor@navjoyinc.com,2021-03-02T03:20:12.140Z,contractor@navjoyinc.com,2021-03-02T03:20:12.140Z,,,,,,,,,,,,,,,,
193,ConstructionWorkZone-593e2b5b-1091-4fc1-8c3f-8eef02c96156,603d99d48b7430fa828de846,contractor@navjoyinc.com,2021-03-02T01:50:12.231Z,contractor@navjoyinc.com,2021-03-02T01:50:12.231Z,,,,,,,,,,,,,,,,
194,ConstructionWorkZone-170a46f4-1430-4c45-997f-c2c3df726c54,603d9b028b7430fa828dee78,contractor@navjoyinc.com,2021-03-02T01:55:14.046Z,contractor@navjoyinc.com,2021-03-02T01:55:14.046Z,,,,,,,,,,,,,,,,
195,ConstructionWorkZone-74aed034-9b96-4c05-8a1a-e9d7b7a346ab,603da4608b7430fa828e2469,contractor@navjoyinc.com,2021-03-02T03:05:08.841Z,contractor@navjoyinc.com,2021-03-02T03:05:08.841Z,,,,,,,,,,,,,,,,
196,ConstructionWorkZone-ace030fc-0952-4db2-9da0-873848870f4c,603da90a8b7430fa828e3e17,contractor@navjoyinc.com,2021-03-02T03:10:09.940Z,contractor@navjoyinc.com,2021-03-02T03:10:09.940Z,,,,,,,,,,,,,,,,
197,ConstructionWorkZone-1650e437-a5a4-4ed8-ac2c-c0a984410962,603daeec8b7430fa828e60c5,contractor@navjoyinc.com,2021-03-02T03:20:12.140Z,contractor@navjoyinc.com,2021-03-02T03:20:12.140Z,,,,,,,,,,,,,,,,
198,ConstructionWorkZone-cbd07472-bdeb-46e8-b27f-b9482f3182d6,603dc7828b7430fa828f6375,contractor@navjoyinc.com,2021-03-02T05:10:08.094Z,contractor@navjoyinc.com,2021-03-02T05:10:08.094Z,,,,,,,,,,,,,,,,
199,ConstructionWorkZone-35b73526-6000-4fc4-9733-2bbe460094b1,603dcb0a8b7430fa828fa79a,contractor@navjoyinc.com,2021-03-02T05:20:10.446Z,contractor@navjoyinc.com,2021-03-02T05:20:10.446Z,,,,,,,,,,,,,,,,
200,ConstructionWorkZone-b7d54b4c-bc46-45de-bde7-7c81f51a54b0,603dcc378b7430fa828fb956,contractor@navjoyinc.com,2021-03-02T05:30:12.860Z,contractor@navjoyinc.com,2021-03-02T05:30:12.860Z,,,,,,,,,,,,,,,,
201,ConstructionWorkZone-db9acfd1-c880-47a2-9002-395793d828d1,603dce928b7430fa828fec5f,contractor@navjoyinc.com,2021-03-02T05:40:05.242Z,contractor@navjoyinc.com,2021-03-02T05:40:05.242Z,,,,,,,,,,,,,,,,
202,ConstructionWorkZone-f607a39b-2cdc-4838-bbb0-da9a76c2c1a1,603dd0e28b7430fa8290609c,contractor@navjoyinc.com,2021-03-02T05:45:06.590Z,contractor@navjoyinc.com,2021-03-02T05:45:06.590Z,,,,,,,,,,,,,,,,
203,ConstructionWorkZone-43852400-d550-4b6f-b4db-ebbe0b363b12,603dd20f8b7430fa8290744c,contractor@navjoyinc.com,2021-03-02T05:55:09.063Z,contractor@navjoyinc.com,2021-03-02T05:55:09.063Z,,,,,,,,,,,,,,,,
204,ConstructionWorkZone-6d6aef98-1848-4734-9cca-9545500de45a,603dd46a8b7430fa82909003,contractor@navjoyinc.com,2021-03-02T06:00:10.249Z,contractor@navjoyinc.com,2021-03-02T06:00:10.249Z,,,,,,,,,,,,,,,,
205,ConstructionWorkZone-178381ca-7dea-4a6d-a9c1-07c3ad3ae1a1,603dd5978b7430fa8290a301,contractor@navjoyinc.com,2021-03-02T06:20:15.228Z,contractor@navjoyinc.com,2021-03-02T06:20:15.228Z,,,,,,,,,,,,,,,,
206,ConstructionWorkZone-31007cb9-78ca-46f9-8ab7-791efb7ce853,603dda428b7430fa82910453,contractor@navjoyinc.com,2021-03-02T07:05:06.231Z,contractor@navjoyinc.com,2021-03-02T07:05:06.231Z,,,,,,,,,,,,,,,,
207,ConstructionWorkZone-3bc40951-cdb6-4c78-a17b-872177d6fc3b,6068123670d091003bd50f1b,admin@sa1.com,2021-04-03T06:59:02.171Z,admin@sa1.com,2021-04-03T06:59:02.171Z,Bridge,,,,,,,,,Planned,,,,,,
208,ConstructionWorkZone-4daf45c9-ed1d-464f-8d92-d4fc059b2f66,6074c6b3de9d5f003a225057,EAlexander@navjoyinc.com,2021-04-12T22:16:19.770Z,EAlexander@navjoyinc.com,2021-04-12T22:16:19.770Z,Bridge,,,,,,,,,Planned,,,,,,
209,ConstructionWorkZone-d13903a3-0a33-4246-ab89-91a9be778cd2,60ae7abfd3ea9a003b624a57,nnageli@navjoyinc.com.demo,2021-05-26T16:43:43.647Z,nnageli@navjoyinc.com.demo,2021-05-26T16:43:43.647Z,Lane Expansion,Sedalia,Monument,,,,,,,Planned,,,,,,
210,ConstructionWorkZone-df059fd8-aa54-46a5-870a-b078da546c42,60ae7befd3ea9a003b624a61,nnageli@navjoyinc.com.demo,2021-05-26T16:48:47.864Z,nnageli@navjoyinc.com.demo,2021-05-26T16:48:47.864Z,Other,Mineral Drive,Town Center,,,,,,,Completed,,,,,,
211,ConstructionWorkZone-043c8cf4-779d-4cd6-b1a8-c3d1f068e369,60ae7c83d3ea9a003b624a64,nnageli@navjoyinc.com.demo,2021-05-26T16:51:15.839Z,nnageli@navjoyinc.com.demo,2021-05-26T16:51:15.839Z,Traffic Signal Installation,Kipling Street,C-470,,,,,,,Inactive,,,,,,
212,ConstructionWorkZone-b67f8859-e193-42e1-b9af-d646f881b8b2,60ae7d29d3ea9a003b624a67,nnageli@navjoyinc.com.demo,2021-05-26T16:54:01.263Z,nnageli@navjoyinc.com.demo,2021-05-26T16:55:15.915Z,Bridge,Castle Pines,Orchard Rd,,,,,,,Active,,,,,,
213,ConstructionWorkZone-49cde616-b4c4-4ca0-8266-563b0523d86d,60ae96fbd3ea9a003b624a6f,nnageli@navjoyinc.com.demo,2021-05-26T18:44:11.233Z,nnageli@navjoyinc.com.demo,2021-05-26T18:44:11.233Z,Road,E-470,Arapahoe Rd,,,,,,,Inactive,,,,,,
214,ConstructionWorkZone-bec47dbe-e4e8-4340-ab20-1872c2b6ce6d,60ae97cad3ea9a003b624a72,nnageli@navjoyinc.com.demo,2021-05-26T18:47:38.034Z,nnageli@navjoyinc.com.demo,2021-05-26T18:47:38.034Z,Other,Union St,Welch Street,,,,,,,Planned,,,,,,
215,ConstructionWorkZone-11add0a8-0624-4a24-83da-58b3ce875f93,60ae9841d3ea9a003b624a75,nnageli@navjoyinc.com.demo,2021-05-26T18:49:37.974Z,nnageli@navjoyinc.com.demo,2021-05-26T18:49:37.974Z,Sidewalk,I-70,Ward ,,,,,,,Active,,,,,,
216,ConstructionWorkZone-ae6fb993-e5a6-4f33-ba53-bd5ae6c645a8,60ae98dfd3ea9a003b624a78,nnageli@navjoyinc.com.demo,2021-05-26T18:52:15.727Z,nnageli@navjoyinc.com.demo,2021-05-26T18:52:15.727Z,Other,I-70,65th Avenue,,,,,,,Planned,,,,,,
217,ConstructionWorkZone-89435223-07de-43cc-8c54-29fe6b2535e4,60ae9972d3ea9a003b624a7b,nnageli@navjoyinc.com.demo,2021-05-26T18:54:42.347Z,nnageli@navjoyinc.com.demo,2021-05-26T18:54:42.347Z,Underground,Baseline Rd,Broadway,,,,,,,Active,,,,,,
218,ConstructionWorkZone-d908341a-29ef-4d6f-ba73-652454bb583a,60ae99dbd3ea9a003b624a7e,nnageli@navjoyinc.com.demo,2021-05-26T18:56:27.593Z,nnageli@navjoyinc.com.demo,2021-05-26T18:56:27.593Z,Bridge,E-470,136th Ave,,,,,,,Active,,,,,,
